iter	Passed	Remaining
1301	13666	38814
1302	13673	38795
1303	13680	38775
1304	13687	38755
1305	13695	38737
1306	13703	38719
1307	13711	38702
1308	13718	38682
1309	13725	38662
1310	13732	38642
1311	13739	38622
1312	13746	38602
1313	13754	38582
1314	13761	38562
1315	13768	38543
1316	13775	38523
1317	13783	38505
1318	13791	38487
1319	13799	38470
1320	13807	38453
1321	13814	38434
1322	13821	38415
1323	13829	38395
1324	13836	38376
1325	13843	38356
1326	13850	38337
1327	13858	38318
1328	13865	38299
1329	13875	38287
1330	13885	38277
1331	13896	38266
1332	13904	38251
1333	13915	38242
1334	13922	38222
1335	13929	38202
1336	13937	38184
1337	13944	38164
1338	13951	38144
1339	13958	38125
1340	13965	38106
1341	13972	38086
1342	13979	38067
1343	13987	38048
1344	13995	38031
1345	14003	38014
1346	14010	37996
1347	14017	37977
1348	14024	37957
1349	14032	37938
1350	14039	37919
1351	14046	37900
1352	14053	37881
1353	14060	37862
1354	14070	37851
1355	14078	37832
1356	14085	37814
1357	14096	37804
1358	14106	37792
1359	14115	37779
1360	14123	37762
1361	14130	37744
1362	14137	37725
1363	14146	37709
1364	14154	37693
1365	14162	37676
1366	14170	37659
1367	14177	37641
1368	14185	37624
1369	14194	37610
1370	14202	37593
1371	14210	37576
1372	14219	37562
1373	14230	37553
1374	14243	37551
1375	14263	37566
1376	14281	37576
1377	14304	37598
1378	14346	37671
1379	14371	37698
1380	14393	37719
1381	14412	37730
1382	14436	37756
1383	14455	37768
1384	14472	37775
1385	14487	37776
1386	14494	37757
1387	14504	37744
1388	14511	37725
1389	14519	37709
1390	14527	37691
1391	14534	37673
1392	14541	37654
1393	14549	37636
1394	14564	37637
1395	14574	37625
1396	14586	37619
1397	14593	37600
1398	14601	37583
1399	14608	37565
1400	14616	37547
1401	14623	37529
1402	14631	37511
1403	14638	37493
1404	14646	37476
1405	14654	37458
1406	14661	37440
1407	14672	37431
1408	14682	37419
1409	14691	37406
1410	14702	37397
1411	14713	37389
1412	14721	37371
1413	14728	37353
1414	14736	37335
1415	14743	37317
1416	14750	37298
1417	14758	37280
1418	14765	37263
1419	14772	37244
1420	14782	37232
1421	14794	37226
1422	14804	37212
1423	14811	37196
1424	14819	37178
1425	14826	37159
1426	14833	37140
1427	14840	37122
1428	14850	37110
1429	14859	37096
1430	14868	37082
1431	14878	37071
1432	14891	37066
1433	14907	37070
1434	14920	37067
1435	14932	37061
1436	14941	37046
1437	14956	37047
1438	14969	37045
1439	14984	37045
1440	14999	37046
1441	15038	37106
1442	15060	37124
1443	15096	37177
1444	15150	37273
1445	15178	37306
1446	15195	37310
1447	15209	37310
1448	15223	37308
1449	15236	37301
1450	15243	37284
1451	15256	37279
1452	15270	37277
1453	15280	37267
1454	15289	37250
1455	15296	37232
1456	15304	37215
1457	15314	37204
1458	15324	37192
1459	15331	37174
1460	15339	37155
1461	15346	37137
1462	15353	37119
1463	15365	37111
1464	15374	37098
1465	15382	37081
1466	15392	37071
1467	15402	37058
1468	15412	37045
